"locus_tag","gene_name","function","logFC","logCPM","PValue","q.value","UniprotID"
"ABUW_0067","hmgR","transcriptional regulator, IclR family",-4.53186288298901,2.63380343978381,0.0675058653626853,0.693303482103254,"no data"
"ABUW_0068","ABUW_0068","glyoxalase/bleomycin resistance protein/dioxygenase",-3.74192114806793,2.3022341938654,0.145345937130432,0.859633558125512,"WP_000141645.1"
"ABUW_0069","maiA","maleylacetoacetate isomerase",-2.79679247896762,2.04062523117975,0.576800998098419,1,"WP_000781235.1"
"ABUW_0070","fahA","fumarylacetoacetase",-2.6667300577192,2.00732051655534,0.500635399121533,1,"WP_000435854.1"
"ABUW_0077","hutU","urocanate hydratase",7.95111499675009,8.58198230049763,0.000489465617991344,0.0286149130518016,"WP_000208428.1"
"ABUW_0078","hutH","histidine ammonia-lyase",-2.19186783462656,1.93057900459029,0.999999999999975,1,"WP_000421600.1"
"ABUW_0079","ABUW_0079","proline-specific permease ProY",-1.47650815239268,1.8197112660932,1,1,"WP_000081467.1"
"ABUW_0082","ABUW_0082","hypothetical protein",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_000797607.1"
"ABUW_0087","ABUW_0087","histidine kinase",-3.65829349911811,2.28240216418604,0.204370381718293,1,"WP_001062713.1"
"ABUW_0088","ABUW_0088","hypothetical protein",-3.28560735862092,2.15571956286179,0.284032499464454,1,"WP_001097214.1"
"ABUW_0093","nusB","transcription antitermination factor NusB",-3.00347879276465,2.07220617278912,0.511551661942991,1,"WP_000084188.1"
"ABUW_0094","ribH","6,7-dimethyl-8-ribityllumazine synthase",-2.79760323315697,2.04062523117975,0.577741004730019,1,"no data"
"ABUW_0095","ribB1","3,4-dihydroxy-2-butanone 4-phosphate synthase",-2.19113267808259,1.917990603871,0.999999999999975,1,"no data"
"ABUW_0097","serB","phosphoserine phosphatase",-3.02375271434534,2.08825739610137,0.500635399121533,1,"WP_001206799.1"
"ABUW_0098","ABUW_0098","hypothetical protein",-3.30139427027301,2.15316721056939,0.258475895059313,1,"WP_000255593.1"
"ABUW_0099","ABUW_0099","hypothetical protein",-3.54820233879253,2.23594958403536,0.250953098682292,1,"WP_000778129.1"
"ABUW_0101","pncB","nicotinate phosphoribosyltransferase",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_000074557.1"
"ABUW_0102","ABUW_0102","hypothetical protein",-2.19186783462656,1.93057900459029,0.999999999999975,1,"WP_000174475.1"
"ABUW_0104","ABUW_0104","hypothetical protein",-4.19449762803065,2.48194466334146,0.155842172065935,0.880595173011972,"WP_000619878.1"
"ABUW_0105","phoR","phosphate regulon sensor kinase PhoR",-3.08292103393281,2.12013854788729,0.527389671491341,1,"WP_000273188.1"
"ABUW_0108","ABUW_0108","short-chain dehydrogenase/reductase",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_000787753.1"
"ABUW_0109","ABUW_0109","MATE efflux family protein",-2.19113267808259,1.917990603871,0.999999999999975,1,"WP_001135124.1"
"ABUW_0110","ABUW_0110","putative aminotransferase",-4.2510374955451,2.50622171767379,0.102322198375792,0.828315723780051,"WP_000939852.1"
"ABUW_0111","ABUW_0111","hypothetical protein",-1.47650815239268,1.8197112660932,1,1,"WP_001055477.1"
"ABUW_0113","ABUW_0113","hypothetical protein",0.424946931870346,2.07891875272115,1,1,"WP_000999587.1"
"ABUW_0116","ABUW_0116","hypothetical protein",-5.65098174132877,3.25006696236351,0.014124950400699,0.346289106597782,"WP_000898344.1"
"ABUW_0117","ABUW_0117","hypothetical protein",-2.92825556206084,2.06771563730934,0.585313308797073,1,"WP_001034707.1"
"ABUW_0120","ABUW_0120","hypothetical protein",-3.30969164475065,2.16427618138815,0.250953098682292,1,"WP_001260545.1"
"ABUW_0122","ABUW_0122","PGAP1 family protein",-3.54786144413618,2.23185054223314,0.250953098682292,1,"WP_001139635.1"
"ABUW_0123","ABUW_0123","putative esterase",-0.885004150722833,2.33406343013,0.632596067055127,1,"WP_001021722.1"
"ABUW_0125","allA","ureidoglycolate hydrolase",-2.19044293082581,1.90814917360387,0.999999999999975,1,"no data"
"ABUW_0127","ABUW_0127","monooxygenase, FAD-binding",-2.19113267808259,1.917990603871,0.999999999999975,1,"no data"
"ABUW_0129","ABUW_0129","uracil-xanthine permease",-2.66707404668649,2.01199329210572,0.999999999999975,1,"WP_001016448.1"
"ABUW_0132","ABUW_0132","polysaccharide deacetylase",-2.19078776384674,1.91307375918052,0.999999999999975,1,"no data"
"ABUW_0133","ABUW_0133","hypothetical protein",-3.02302114057013,2.07668969307027,0.500635399121533,1,"WP_001019316.1"
"ABUW_0137","ABUW_0137","GGDEF family protein",-3.25836140586956,2.14458028205954,0.529601743147111,1,"WP_000702277.1"
"ABUW_0140","ABUW_0140","putative arsenate reductase",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_000913165.1"
"ABUW_0141","xth","exodeoxyribonuclease III",-1.47650815239268,1.8197112660932,1,1,"WP_000612365.1"
"ABUW_0152","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase",4.37150097580768,4.45383345736114,0.0253281583324522,0.463840971871414,"WP_000240700.1"
"ABUW_0157","ABUW_0157","hypothetical protein",-1.47650815239268,1.8197112660932,1,1,"WP_000900285.1"
"ABUW_0159","ABUW_0159","TonB-dependent receptor protein",-4.0812905860425,2.43390490926862,0.11337693885603,0.859633558125512,"WP_000194085.1"
"ABUW_0165","recJ","single-stranded-DNA-specific exonuclease RecJ",-3.30934975130337,2.16000123726249,0.250953098682292,1,"WP_000161610.1"
"ABUW_0169","ABUW_0169","transcriptional regulator, ArsR family",-4.12881323898678,2.45796301500101,0.102679234484669,0.828315723780051,"WP_000350419.1"
"ABUW_0173","ABUW_0173","MscS Mechanosensitive ion channel",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_000752853.1"
"ABUW_0175","acsA","acetate--CoA ligase",-3.5252088586351,2.2252615598953,0.276518266291179,1,"no data"
"ABUW_0177","ABUW_0177","transcriptional regulator, AsnC/Lrp family",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_001019415.1"
"ABUW_0178","ABUW_0178","alkanesulfonate monooxygenase",-3.02517102653527,2.10867282301108,0.500635399121533,1,"no data"
"ABUW_0180","ABUW_0180","two-component system response regulator protein",-2.60004634048743,1.99055417797053,0.55728379054729,1,"WP_001023261.1"
"ABUW_0181","ABUW_0181","hypothetical protein",-2.25311969513734,1.94313126407536,1,1,"WP_001026735.1"
"ABUW_0182","ABUW_0182","two-component system hybrid histidine kinase/response regulator",-3.93573772967099,2.3803563690005,0.140697365225602,0.859633558125512,"WP_001089740.1"
"ABUW_0184","ABUW_0184","Na+/solute symporter",-3.53645917073932,2.22774509498785,0.262798477181713,1,"WP_000871885.1"
"ABUW_0186","ABUW_0186","high-affinity choline transport protein",-2.19078776384674,1.91307375918052,0.999999999999975,1,"no data"
"ABUW_0187","ABUW_0187","hypothetical protein",-2.19152274689086,1.92567911061611,0.999999999999975,1,"no data"
"ABUW_0188","ABUW_0188","GGDEF family protein",-2.25304364766188,1.94313126407536,0.999999999999998,1,"WP_000016108.1"
"ABUW_0189","uvrA","excinuclease ABC, A subunit",-3.75019889921784,2.30375559719294,0.131711633799476,0.859633558125512,"WP_000083355.1"
"ABUW_0190","ABUW_0190","transcriptional regulator, TetR family",2.91978423991437,7.88845152664749,0.0664904418677942,0.692701831106436,"WP_000826320.1"
"ABUW_0192","ABUW_0192","hypothetical protein",-1.47650815239268,1.8197112660932,1,1,"WP_000580168.1"
"ABUW_0194","ABUW_0194","transcriptional regulator, TenA family",-1.47650815239268,1.8197112660932,1,1,"no data"
"ABUW_0195","ABUW_0195","major facilitator family transporter",-3.18056452967297,2.13156839529328,0.379005365660086,1,"WP_000680213.1"
"ABUW_0196","ABUW_0196","major facilitator family transporter",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_001986480.1"
"ABUW_0201","gabP","GABA permease",-3.30171346518985,2.15316721056939,0.258132095108499,1,"no data"
"ABUW_0202","ABUW_0202","transcriptional regulator, GntR family",-3.75318680650993,2.31010004623654,0.125953702745073,0.859633558125512,"WP_001257162.1"
"ABUW_0203","gabT","4-aminobutyrate transaminase",-4.02963500676088,2.40501289855736,0.168451920296279,0.92770622771864,"WP_000369968.1"
"ABUW_0204","gabD1","succinate-semialdehyde dehydrogenase (NADP+)",-4.78082003969646,2.75465619981076,0.0330115057724299,0.539542890044016,"no data"
"ABUW_0205","ABUW_0205","transcriptional regulator, LysR family",-3.00032862296337,2.08563562414824,0.581914402704454,1,"WP_000912176.1"
"ABUW_0207","ABUW_0207","pirin family protein",-3.72602715440916,2.29345540304306,0.157193804664568,0.884942900333867,"WP_000713961.1"
"ABUW_0208","ABUW_0208","hypothetical protein",-2.19113267808259,1.917990603871,0.999999999999975,1,"WP_000350212.1"
"ABUW_0209","ABUW_0209","methyltransferase",-2.19113267808259,1.917990603871,0.999999999999975,1,"WP_000645059.1"
"ABUW_0212","ABUW_0212","",-3.00959317904208,2.08116618207408,0.517252748710045,1,"no data"
"ABUW_0213","ABUW_0213","major facilitator family transporter",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_001089027.1"
"ABUW_0214","ABUW_0214","transcriptional regulator, LysR family",0.458670998139757,2.0567379128412,1,1,"WP_000423165.1"
"ABUW_0218","ABUW_0218","aldo-keto reductase",-3.52511873886332,2.2252615598953,0.276656726728074,1,"WP_000877472.1"
"ABUW_0219","ABUW_0219","transcriptional regulator, AraC family",-3.75698402191393,2.31794142216595,0.131676942279391,0.859633558125512,"WP_000447716.1"
"ABUW_0225","ABUW_0225","hypothetical protein",1.03342484657025,2.15071418899435,0.529978337883601,1,"WP_000670913.1"
"ABUW_0230","ABUW_0230","acetyltransferase, gnat family",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_000604216.1"
"ABUW_0231","ABUW_0231","",-3.00032179389225,2.08563562414824,0.581956003114607,1,"no data"
"ABUW_0237","aqpZ","aquaporin Z",-1.47650815239268,1.8197112660932,1,1,"WP_001045986.1"
"ABUW_0238","ABUW_0238","transcriptional regulator, AraC family",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_001135861.1"
"ABUW_0239","ABUW_0239","hypothetical protein",-5.11095068265818,2.92826228075489,0.0588283353331902,0.692701831106436,"WP_000911634.1"
"ABUW_0241","ABUW_0241","homoserine kinase",-2.25296807535221,1.94313126407536,0.999999999999989,1,"WP_000118180.1"
"ABUW_0242","ABUW_0242","cold-shock DNA-binding domain protein",-3.28256978350788,2.15745063041396,0.306789030052078,1,"WP_001205588.1"
"ABUW_0243","ABUW_0243","hypothetical protein",-2.66634068692184,1.99993980282557,0.500635399121533,1,"WP_001088855.1"
"ABUW_0247","ABUW_0247","3'-5' exonuclease",-3.18039502540221,2.13156839529328,0.378661833119045,1,"WP_001287552.1"
"ABUW_0248","ABUW_0248","hypothetical protein",-3.56748456265893,2.26534611842118,0.137180608071423,0.859633558125512,"WP_001087812.1"
"ABUW_0249","hisH","imidazole glycerol phosphate synthase, glutamine amidotransferase subunit",-2.66634068692184,1.99993980282557,0.500635399121533,1,"WP_000196730.1"
"ABUW_0250","hisB","imidazoleglycerol-phosphate dehydratase",-2.19113267808259,1.917990603871,0.999999999999975,1,"WP_000194096.1"
"ABUW_0252","ABUW_0252","",-1.47650815239268,1.8197112660932,1,1,"no data"
"ABUW_0253","ABUW_0253","",-3.30969164475065,2.16427618138815,0.250953098682292,1,"no data"
"ABUW_0254","ABUW_0254","acetyltransferase",-2.19113267808259,1.917990603871,0.999999999999975,1,"WP_000469967.1"
"ABUW_0255","ABUW_0255","succinyl-CoA:coenzyme A transferase",-2.64828120133247,2.00462153746236,0.573269353860325,1,"WP_000059344.1"
"ABUW_0256","envZ","two-component system sensory histidine kinase",-1.47650815239268,1.8197112660932,1,1,"no data"
"ABUW_0258","ABUW_0258","RNA binding S1 domain protein",-2.66815201489759,2.02866003665375,0.500635399121533,1,"WP_000131198.1"
"ABUW_0259","ABUW_0259","sulfate transporter",-1.44927443952482,2.51856725172988,0.441766674446614,1,"WP_001111063.1"
"ABUW_0260","acr1","acyl coenzyme A reductase",-4.66013534275825,2.6955449916133,0.0448725516317909,0.608574471967827,"no data"
"ABUW_0265","ABUW_0265","cation efflux system protein",-3.53643908364373,2.2211479128448,0.258811243749809,1,"WP_001138084.1"
"ABUW_0266","czcC","cation efflux system protein",-3.56721745102997,2.26534611842118,0.13697472316287,0.859633558125512,"no data"
"ABUW_0267","czcB","cation efflux system protein (EsvF1)",-1.47650815239268,1.8197112660932,1,1,"no data"
"ABUW_0268","czcA","cation efflux system protein",-3.50799644356053,2.22363325005615,0.299193560826631,1,"no data"
"ABUW_0269","czcD","cation efflux system protein",-1.47650815239268,1.8197112660932,1,1,"no data"
"ABUW_0270","ABUW_0270","hypothetical protein",-2.19044293082581,1.90814917360387,0.999999999999975,1,"WP_001200011.1"
"ABUW_0271","ABUW_0271","hypothetical protein",-3.73322243450085,2.28950348802291,0.140519527758525,0.859633558125512,"WP_000529525.1"
"ABUW_0275","ABUW_0275","amino-acid permease",-3.00028221262294,2.08563562414824,0.582197498484695,1,"WP_001183126.1"
"ABUW_0277","ABUW_0277","",-4.3373089773981,2.54012311834508,0.0712763952818146,0.698781864648296,"no data"
"ABUW_0279","ABUW_0279","hypothetical protein",-3.33563742274006,2.19062965168,0.270286596043875,1,"WP_000690905.1"
"ABUW_0288","rrm","ribosomal RNA large subunit methytransferase A",-2.66634068692184,1.99993980282557,0.500635399121533,1,"no data"
"ABUW_0290","ABUW_0290","type IV pilus assembly protein PilM",-0.656726185654944,2.27766164320136,1,1,"WP_002014066.1"
"ABUW_0291","comN","type 4 fimbrial biogenesis protein PilN",-2.19186783462656,1.93057900459029,0.999999999999975,1,"no data"
"ABUW_0292","comO","pilus assembly protein, PilO",-2.19044293082581,1.90814917360387,0.999999999999975,1,"no data"
"ABUW_0293","comL","pilus assembly protein, PilQ",-3.00374704139868,2.07220617278912,0.511373453361552,1,"no data"
"ABUW_0298","gltB","glutamate synthase, large subunit",-1.65179547864385,3.28091785059521,0.641434190450356,1,"WP_001139947.1"
"ABUW_0299","gltD","glutamate synthase, small subunit",-4.30842527892307,2.53376750929273,0.0720121163420919,0.698781864648296,"no data"
"ABUW_0300","ABUW_0300","hypothetical protein",-1.47650815239268,1.8197112660932,1,1,"WP_001017320.1"
"ABUW_0305","ABUW_0305","O-antigen polymerase family",-2.19113267808259,1.917990603871,0.999999999999975,1,"WP_001195775.1"
"ABUW_0306","bfr1","bacterioferritin",-2.6667300577192,2.00732051655534,0.500635399121533,1,"no data"
"ABUW_0307","ABUW_0307","hypothetical protein",1.42817610408333,3.02708623480755,0.22089373957751,1,"WP_000289091.1"
"ABUW_0308","ABUW_0308","hypothetical protein",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_000090000.1"
"ABUW_0310","rpoZ","DNA-directed RNA polymerase, omega subunit",-7.92327519130335,4.96554590537144,5.26273564168761e-06,0.00133322636256086,"WP_000135049.1"
"ABUW_0314","pilV","type IV pilus modification protein PilV",-3.31076411222832,2.17960419196419,0.250953098682292,1,"WP_002194578.1"
"ABUW_0315","pilW","pilus assembly protein PilW",-3.00032624827435,2.08563562414824,0.581928866331088,1,"WP_005136899.1"
"ABUW_0316","pilX","pilus assembly protein PilX",-1.47685408929757,1.82489007978551,0.999999999999975,1,"no data"
"ABUW_0317","pilY","pilus assembly protein tip-associated adhesin PilY1",-5.53077390158204,3.17526416022118,0.024156105074896,0.461684843305377,"no data"
"ABUW_0318","comE","pilin like competence factor",3.45938442182612,2.00128309701151,0.542039348042448,1,"no data"
"ABUW_0319","comF","pilin like competence factor",-5.76953399326754,3.32667732632732,0.0088232805832992,0.273701765032955,"no data"
"ABUW_0324","ABUW_0324","lipase",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_085916958.1"
"ABUW_0326","truB","tRNA pseudouridine synthase B",-2.25230822548329,1.94313126407536,0.999999999999992,1,"WP_000208695.1"
"ABUW_0328","ABUW_0328","hemerythrin",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_001019905.1"
"ABUW_0329","ABUW_0329","hypothetical protein",-3.5536102451003,2.25722649878964,0.254737553770131,1,"WP_001180517.1"
"ABUW_0330","ABUW_0330","hypothetical protein",-3.90426565108419,2.34672903097017,0.140266598705123,0.859633558125512,"WP_000098160.1"
"ABUW_0332","ABUW_0332","FAD linked oxidase domain protein",-2.66741811599824,2.01665860795898,0.500635399121533,1,"WP_000993504.1"
"ABUW_0336","ABUW_0336","hypothetical protein",-2.19078776384674,1.91307375918052,0.999999999999975,1,"WP_000719497.1"
"ABUW_0337","mdfA","chloramphenicol resistance pump cmr",-3.52499847832898,2.2252615598953,0.276842079475944,1,"no data"
"ABUW_0338","ABUW_0338","hypothetical protein",-3.00988269142272,2.08116618207408,0.516833219796481,1,"no data"
"ABUW_0339","sodC","copper/zinc superoxide dismutase",-3.75318680650993,2.31010004623654,0.125953702745073,0.859633558125512,"no data"
"ABUW_0340","ABUW_0340","hypothetical protein",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_000553809.1"
"ABUW_0341","ABUW_0341","cobyrinic acid a,c-diamide synthase",-3.5625176164687,2.25475400205514,0.266600450302329,1,"WP_000849145.1"
"ABUW_0342","ABUW_0342","hypothetical protein",-2.66741811599824,2.01665860795898,0.500635399121533,1,"WP_000118036.1"
"ABUW_0344","ABUW_0344","hypothetical protein",-3.92338566720442,2.35671100960114,0.131186059750366,0.859633558125512,"WP_000915010.1"
"ABUW_0345","ABUW_0345","methyltransferase type 11",-2.25165621585412,1.94313126407536,0.999999999999993,1,"WP_000194480.1"
"ABUW_0347","ABUW_0347","amino-acid permease",-4.33696512489874,2.53889864297135,0.0630521304363354,0.692701831106436,"WP_001191140.1"
"ABUW_0350","gdh","glutamate dehydrogenase",-3.02302114057013,2.07668969307027,0.500635399121533,1,"WP_000972056.1"
"ABUW_0351","ABUW_0351","bifunctional succinylornithine transaminase/acetylornithine transaminase",-2.92818604181271,2.06771563730934,0.585453411224323,1,"WP_000437496.1"
"ABUW_0352","astA1","arginine N-succinyltransferase",-1.47650815239268,1.8197112660932,1,1,"no data"
"ABUW_0353","astD","succinylglutamic semialdehyde dehydrogenase",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_000071653.1"
"ABUW_0355","astE","succinylglutamate desuccinylase",-2.25101186652721,1.94313126407536,1,1,"WP_001150816.1"
"ABUW_0356","ABUW_0356","hypothetical protein",-2.64821846680678,2.00462153746236,0.573634730113587,1,"WP_000783289.1"
"ABUW_0358","ABUW_0358","peptidase S8 and S53 subtilisin",-1.47650815239268,1.8197112660932,1,1,"WP_001190948.1"
"ABUW_0364","ABUW_0364","hypothetical protein",-2.19044293082581,1.90814917360387,0.999999999999975,1,"WP_000888250.1"
"ABUW_0368","ABUW_0368","tetracycline resistance protein TetA",-2.92811671500285,2.06771563730934,0.585593370383509,1,"WP_001082092.1"
"ABUW_0369","ABUW_0369","hypothetical protein",-4.20863122147885,2.48418483317438,0.107915285956257,0.84552182811088,"WP_001283776.1"
"ABUW_0370","ABUW_0370","hypothetical protein",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_000481390.1"
"ABUW_0371","ABUW_0371","HPP domain protein",-3.92310403287388,2.36809726561986,0.146499806035435,0.861106871045027,"WP_000111468.1"
"ABUW_0374","ABUW_0374","acyl-CoA dehydrogenase",-4.41018680171215,2.57166367084776,0.0760157764094613,0.708858773879639,"WP_001112077.1"
"ABUW_0375","ABUW_0375","hypothetical protein",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_000550363.1"
"ABUW_0380","suhB","inositol-1-monophosphate",-0.790240717126087,12.1479495717568,0.232876162184777,1,"no data"
"ABUW_0381","ABUW_0381","DEAD/DEAH box helicase",-0.89095976781727,18.4029715279793,0.320527355697348,1,"WP_000047395.1"
"ABUW_0390","ABUW_0390","hydrolase, NUDIX family protein",-2.19186783462656,1.93057900459029,0.999999999999975,1,"WP_000849702.1"
"ABUW_0393","ABUW_0393","NAD dependent epimerase/dehydratase family",-3.91445062759684,2.35054370447724,0.135522021635576,0.859633558125512,"WP_000547775.1"
"ABUW_0394","ABUW_0394","putative RND type efflux pump involved in aminoglycoside resistance",-3.31048270706684,2.17109170238392,0.256570320300266,1,"no data"
"ABUW_0395","plsB","glycerol-3-phosphate acyltransferase",-2.19113267808259,1.917990603871,0.999999999999975,1,"WP_000045400.1"
"ABUW_0398","ABUW_0398","hypothetical protein",-4.80834764431558,4.57961364356034,0.000137306417104788,0.0130441096249548,"WP_012296961.1"
"ABUW_0400","ABUW_0400","transcriptional regulator, BadM/Rrf2 family",-4.45015896852406,2.5903989152401,0.06965449568011,0.698781864648296,"WP_001176605.1"
"ABUW_0401","ABUW_0401","flavohemoprotein",-2.60062849035897,1.99055417797053,0.556457454930038,1,"WP_000188888.1"
"ABUW_0402","ABUW_0402","hypothetical protein",-3.56231321669507,2.25475400205514,0.266286960412348,1,"WP_000537113.1"
"ABUW_0403","ABUW_0403","cystathionine beta-lyase PLP-dependent",-2.46857384456887,2.98058590687784,0.173836019116145,0.947063616690107,"WP_000716504.1"
"ABUW_0404","ABUW_0404","glutamine amidotransferase, class I",-3.08265624838202,2.12013854788729,0.527215093579945,1,"WP_000835293.1"
"ABUW_0433","ABUW_0433","flavin-containing monooxygenase FMO",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_000415133.1"
"ABUW_0434","fadE","acyl-CoA dehydrogenase",-5.34066204177946,3.06116557870422,0.0316096769052274,0.534728896721217,"no data"
"ABUW_0440","ABUW_0440","TRAP C4-dicarboxylate transport system permease",-3.8279974237949,2.35237702547345,0.162738734912571,0.906091124787943,"WP_001158905.1"
"ABUW_0442","ABUW_0442","hypothetical protein",-3.07531801375468,2.1157171227138,0.529240101031976,1,"WP_000745523.1"
"ABUW_0443","prlC","oligopeptidase A",-2.19044293082581,1.90814917360387,0.999999999999975,1,"no data"
"ABUW_0444","rnr","ribonuclease R",-1.47650815239268,1.8197112660932,1,1,"WP_000165350.1"
"ABUW_0447","ABUW_0447","",-3.85617417018622,3.88309568347724,0.00183485125617503,0.0810421608177374,"no data"
"ABUW_0449","ABUW_0449","hypothetical protein",-1.47650815239268,1.8197112660932,1,1,"WP_000479308.1"
"ABUW_0450","ABUW_0450","",-2.66815201489759,2.02866003665375,0.500635399121533,1,"no data"
"ABUW_0455","ABUW_0455","hypothetical protein",-3.5246752348965,2.2252615598953,0.277343616142307,1,"WP_000392676.1"
"ABUW_0457","wrbA","flavodoxin/nitric oxide synthase",-4.52032733829622,2.62843439198702,0.0630914062878682,0.692701831106436,"WP_001183358.1"
"ABUW_0461","ABUW_0461","TonB family protein",-3.40141612240761,2.20162037724431,0.323322601132972,1,"WP_000914774.1"
"ABUW_0463","phoL","phosphate starvation-inducible protein",-1.47685408929757,1.82489007978551,0.999999999999975,1,"no data"
"ABUW_0464","miaB","tRNA-i(6)A37 thiotransferase",-3.00401356568227,2.07220617278912,0.511197219838187,1,"WP_000218141.1"
"ABUW_0465","ABUW_0465","lytic transglycosylase, catalytic",-4.60272818152282,8.82942110599339,1.94779256911674e-05,0.00370080588132181,"WP_000792527.1"
"ABUW_0469","ABUW_0469","hypothetical protein",-3.0003702348628,2.08563562414824,0.581661332182084,1,"WP_000021434.1"
"ABUW_0471","ABUW_0471","S-adenosyl-L-methionine-dependent methyltransferase family protein",-1.4775908781485,1.83808860474376,0.999999999999975,1,"no data"
"ABUW_0473","ABUW_0473","hypothetical protein",-2.19113267808259,1.917990603871,0.999999999999975,1,"no_data"
"ABUW_0481","ABUW_0481","acyl-CoA dehydrogenase",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_001176667.1"
"ABUW_0485","ABUW_0485","oxidoreductase short-chain dehydrogenase/reductase family",-3.02448465198839,2.09979049835399,0.500635399121533,1,"WP_000121938.1"
